36,66,514,547
36,66,514,547
36,66,514,547
36,66,514,547
37,65,515,547
36,65,519,550
31,61,515,546
29,60,514,545
57,89,548,578
105,139,597,629
89,121,584,613
84,116,572,602
80,113,565,595
76,107,553,583
61,91,541,571
42,74,531,560
44,76,528,558
59,90,551,582
58,90,553,583
60,91,547,577
61,92,547,577
38,64,517,551
13,37,494,531
0,2,444,484
0,16,478,519
14,39,524,559
55,83,554,589
74,104,565,598
85,117,575,606
151,189,638,640
105,152,638,640
89,138,638,640
231,272,638,640
89,127,575,601
39,67,524,554
9,40,490,521
0,26,479,510
0,10,489,515
0,2,485,522
0,2,356,401
0,2,556,606
126,157,604,632
107,138,595,620
207,249,638,640
214,261,638,640
247,284,638,640
13,39,535,567
0,2,446,487
0,2,516,570
0,2,418,465
44,73,534,563
157,194,638,640
76,112,615,638
26,75,599,624
87,129,608,635
0,2,483,520
0,2,458,514
100,132,616,640
21,59,573,597
0,47,629,640
156,207,638,640
31,72,570,595
54,99,638,640
243,292,638,640
273,306,638,640
0,2,491,538
6,29,553,607
52,78,546,586
79,108,569,600
58,90,556,587
86,117,576,607
88,119,580,610
0,322,551,582
45,72,533,563
34,69,520,549
61,77,541,570
80,109,567,596
107,140,595,626
80,115,578,606
17,53,598,624
19,52,605,630
0,34,577,600
0,29,513,516
0,18,495,529
0,18,500,537
14,41,537,573
21,49,566,605
28,53,578,618
24,48,585,616
19,44,582,628
15,38,576,623
41,62,592,635
0,18,515,552
80,111,569,599
105,137,600,629
112,145,602,631
82,112,572,601
76,106,563,602
66,98,562,591
55,82,544,575
39,62,524,556
10,41,500,532
0,2,394,433
0,2,390,438
0,2,437,472
0,2,332,364
48,75,543,571
40,72,530,560
29,60,516,545
