49,532
48,532
49,532
49,532
49,532
48,535
44,532
42,532
72,567
122,639
101,593
99,590
95,581
88,570
74,558
56,548
58,546
72,569
72,570
75,564
76,564
54,543
22,516
0,465
0,508
28,547
69,639
89,586
100,593
170,639
128,639
0,639
248,639
102,585
51,540
22,508
0,497
0,506
0,639
0,378
0,586
138,620
121,612
226,639
236,639
260,639
14,542
0,476
0,548
0,446
62,556
169,639
0,626
48,612
107,622
0,500
0,488
116,639
31,582
0,639
137,639
48,580
0,639
0,639
285,639
0,517
18,579
68,570
92,584
74,572
102,592
103,594
0,564
0,547
0,534
0,555
0,582
124,612
92,591
31,611
35,618
0,588
0,639
0,639
0,518
28,556
36,584
41,599
36,600
31,602
26,592
18,612
0,530
96,588
122,614
130,616
96,586
91,639
0,574
68,639
0,538
24,514
0,639
0,415
0,454
0,639
50,557
52,544
42,532
